basket_id,target_mode,entry_hour,entry_minute,mfe_5m,mae_5m,mfe_30m,mae_30m,add_ons_30m,max_layers_30m,early_adverse_max,path_mfe,path_mae,observed_minutes
1463,late_high,3,23,1.0,-0.08999999999991815,1.0,-1.8299999999999272,0,2,1.8299999999999272,3.9550000000001546,-3.974999999999909,412.0
1464,late_high,22,20,-0.020000000000209184,-0.37000000000011823,1.2199999999998,-0.37000000000011823,0,2,0.37000000000011823,7.940000000000055,-8.164999999999964,1137.0
1465,overnight_medium,22,20,0.18000000000006366,-0.6999999999998181,0.18000000000006366,-1.0399999999999636,0,2,1.0399999999999636,0.22000000000002728,-2.6799999999998363,276.0
1466,overnight_medium,3,38,0.6200000000001182,-0.36999999999989086,0.6200000000001182,-1.6399999999998727,0,2,1.6399999999998727,4.5900000000001455,-1.949999999999818,73.0
1467,quick_low,22,40,1.099999999999909,-0.03000000000020009,2.75,-0.03000000000020009,0,2,0.03000000000020009,2.75,-0.03000000000020009,19.0
1468,overnight_medium,22,30,0.16000000000008185,-0.049999999999954525,0.5800000000001546,-0.8099999999999454,0,3,0.8099999999999454,0.8200000000001637,-2.0499999999999545,228.0
1469,late_high,22,0,-0.39000000000010004,-0.8600000000001273,0.7799999999997453,-1.0200000000002092,0,3,1.0199999999999818,8.069999999999936,-5.42428635968713,3663.0
1470,overnight_medium,22,0,-0.2600000000002183,-0.8200000000003911,-0.1000000000003638,-0.9900000000002365,1,3,0.9900000000000091,2.2819084581312836,-3.2400000000002365,3200.0
1471,overnight_medium,22,30,-0.7099999999995816,-1.5299999999997453,1.7700000000002092,-1.5299999999997453,0,8,1.5299999999999727,1.8900000000003274,-2.3399999999996908,295.0
1472,quick_low,22,30,1.0200000000002092,0.2600000000002183,2.450000000000273,0.2600000000002183,0,4,-0.7300000000000182,2.450000000000273,0.2600000000002183,27.0
1473,overnight_medium,22,50,-0.2599999999999909,-0.9800000000000182,-0.2599999999999909,-1.6399999999998727,0,4,1.6399999999998727,3.0,-1.9199999999998454,191.0
1474,late_high,22,20,0.75,0.21000000000003638,1.3199999999999363,0.08999999999991815,0,4,-0.08999999999991815,3.519999999999982,-3.25,3293.0
1475,overnight_medium,22,20,0.26999999999975444,-0.17000000000030013,0.26999999999975444,-3.1400000000001,2,10,3.3299999999999272,4.149999999999636,-3.1400000000001,271.0
1476,mixed_other,22,20,-0.900000000000091,-1.4600000000000364,-0.8700000000001182,-2.0300000000002,1,5,2.0299999999999727,2.1550000000004275,-7.250000000000227,3283.0
1477,timeout_loss,22,0,0.07999999999969987,-0.7100000000002638,0.07999999999969987,-2.440000000000282,1,5,2.4400000000000546,0.07999999999969987,-3.1100000000001273,61.0
1478,mixed_other,22,50,-0.10999999999989996,-0.5,-0.10999999999989996,-1.0699999999999363,1,5,1.0699999999999363,2.1700000000000728,-3.0,383.0
1479,overnight_medium,22,20,-0.09000000000014552,-0.38000000000010914,-0.09000000000014552,-0.5300000000002001,1,6,0.5299999999999727,2.0299999999997453,-0.8700000000001182,371.0
1480,quick_low,22,10,2.149999999999636,0.169999999999618,2.149999999999636,0.169999999999618,1,6,-0.5,2.149999999999636,0.169999999999618,6.0
1481,quick_low,22,20,0.21000000000003638,-0.2699999999999818,1.5,-0.2699999999999818,1,6,0.2699999999999818,1.5,-0.2699999999999818,12.0
1482,overnight_medium,22,20,0.6600000000003092,0.23000000000024556,0.6600000000003092,-1.0299999999997453,1,7,1.0299999999999727,7.190000000000055,-3.4399999999996,252.0
1483,quick_low,22,0,2.050000000000182,-0.09999999999968168,2.7600000000002183,-0.09999999999968168,1,7,-0.11999999999989086,2.7600000000002183,-0.09999999999968168,6.0
1484,late_high,22,10,0.2700000000002092,-0.38999999999987267,2.5299999999999727,-3.8799999999998818,2,21,3.880000000000109,5.46936110674983,-6.880000000000109,3971.0
1485,quick_low,22,30,-0.5000000000002274,-0.8200000000001637,0.11999999999989086,-0.8200000000001637,1,8,0.8199999999999363,1.059999999999718,-0.8200000000001637,81.0
1486,timeout_loss,22,0,1.2699999999997544,-0.5700000000001637,1.2699999999997544,-0.5700000000001637,1,8,0.33999999999991815,1.2699999999997544,-0.5700000000001637,6.0
1487,quick_low,22,20,2.8600000000001273,1.6000000000001364,2.8600000000001273,1.6000000000001364,1,8,-1.599999999999909,2.8600000000001273,1.6000000000001364,1.0
1488,quick_low,22,30,5.120000000000118,0.31999999999993634,5.580000000000155,0.31999999999993634,1,8,-1.7899999999999636,5.580000000000155,0.31999999999993634,6.0
1489,timeout_loss,22,40,-0.669999999999618,-1.559999999999718,-0.5899999999996908,-2.8499999999996817,1,8,2.849999999999909,-0.5899999999996908,-2.8499999999996817,14.0
1490,quick_low,22,20,-0.03999999999996362,-0.569999999999709,2.6700000000000728,-0.569999999999709,1,9,0.569999999999709,2.6700000000000728,-0.569999999999709,16.0
1491,quick_low,22,40,0.7699999999999818,-0.10999999999967258,1.9400000000000546,-0.10999999999967258,1,9,-0.24000000000023647,1.9400000000000546,-0.10999999999967258,19.0
