mode,strategy,feature,auc,auc_lift,direction,positive_median,background_median,positive_count,background_count
all_background,T2/S04,roc_20,0.9586307023705557,0.4586307023705557,high,0.7825762642111267,0.010631834750918898,187,72285
all_background,T2/S04,sma_21_slope_4,0.95440902916995,0.45440902916994996,high,2.3985714285713584,0.026666666666869787,187,72281
all_background,T2/S04,ao,0.952251424801611,0.45225142480161096,high,8.018382352941217,0.11004411764702127,187,72272
all_background,T2/S04,mom_20,0.9512216016592077,0.45122160165920766,high,12.210000000000036,0.14999999999986358,187,72285
all_background,T2/S04,ema_8_minus_ema_21,0.9505088111193846,0.45050881111938457,high,3.350162859877628,0.04486454382322336,187,72285
all_background,T2/S04,wma_21_minus_wma_50,0.9467830956361931,0.4467830956361931,high,4.654946676852887,0.05789055258469489,187,72256
all_background,T2/S04,wma_50_slope_4,0.9446050898504077,0.4446050898504077,high,1.7044235294117698,0.025086274509931172,187,72252
all_background,T2/S04,wma_21_slope_4,0.9433584257872961,0.4433584257872961,high,2.3062337662336176,0.029437229437235146,187,72281
all_background,T2/S04,close_minus_wma_50,0.9427102328974105,0.4427102328974105,high,8.07300392156867,0.12272941176479435,187,72256
all_background,T2/S04,close_minus_sma_50,0.9421859902166035,0.44218599021660354,high,10.22479999999996,0.16309999999987213,187,72256
all_background,T2/S04,ema_50_slope_4,0.9418676047973505,0.44186760479735054,high,1.5052238804560147,0.025898042970425195,187,72252
all_background,T2/S04,roc_34,0.9417900257623619,0.4417900257623619,high,0.8965866074924952,0.01649797487358802,187,72271
all_background,T2/S04,adx_21_dmn_21,0.058571629900804854,0.4414283700991951,low,11.255155044976522,20.93809011725527,187,72285
all_background,T2/S04,ema_21_slope_4,0.941058171143858,0.44105817114385804,high,2.0302468916877388,0.028797308755429185,187,72281
all_background,T2/S04,sma_8_minus_sma_21,0.9401506736369962,0.4401506736369962,high,3.9706547619045978,0.04946428571429351,187,72285
all_background,T2/S04,close_minus_ema_50,0.9364070352353842,0.43640703523538416,high,8.76190729084783,0.16400954847836147,187,72256
all_background,T2/S04,mom_34,0.9337408137834149,0.4337408137834149,high,13.019999999999982,0.2300000000000182,187,72271
all_background,T2/S04,rsi_21,0.9324293802865145,0.43242938028651445,high,66.81209363540539,50.52816642625615,187,72285
all_background,T2/S04,rsi_34,0.9319443762068194,0.43194437620681936,high,64.03810480292283,50.527980730543305,187,72272
all_background,T2/S04,adx_14_dmn_14,0.07000752444557146,0.42999247555442854,low,9.863212805410202,20.712580435917403,187,72292
all_background,T2/S04,cmo_21,0.9259877186747343,0.4259877186747343,high,44.16826003824151,1.3020833333343684,187,72284
all_background,T2/S04,close_minus_ema_21,0.9240908776497072,0.4240908776497072,high,4.736318615254731,0.07392772564048755,187,72285
all_background,T2/S04,close_minus_sma_21,0.9225570278668921,0.4225570278668921,high,5.276666666666642,0.08000000000015461,187,72285
all_background,T2/S04,wma_8_minus_wma_21,0.9181944316521908,0.41819443165219083,high,2.2700072150071264,0.036024531024622775,187,72285
all_background,T2/S04,ema_21_minus_ema_50,0.9176296963144708,0.4176296963144708,high,3.8667496845666847,0.09743610706118488,187,72256
all_background,T2/S04,efi_13,0.9155096191884903,0.4155096191884903,high,879.3257480692561,2.9405647250427585,187,72292
all_background,T2/S04,rsi_14,0.9141741632494006,0.4141741632494006,high,67.78473405202028,50.58690757855533,187,72292
all_background,T2/S04,sma_21_minus_sma_50,0.9054079257115522,0.40540792571155215,high,4.730742857143014,0.09216190476183783,187,72256
all_background,T2/S04,sma_50_slope_4,0.9005959459775514,0.40059594597755144,high,1.2001999999999953,0.036399999999730426,187,72252
all_background,T2/S04,fisher_14,0.8955483865049971,0.39554838650499713,high,2.6977085837497943,0.12508717944608538,187,72292
all_background,T2/S04,hma_32_slope_4,0.8933081599456315,0.3933081599456315,high,2.4671646613192024,0.040075571895499706,187,72266
all_background,T2/S04,adx_21_dmp_21,0.8932935916542474,0.3932935916542474,high,30.8105135044318,20.31026802219136,187,72285
all_background,T2/S04,bbands_20_bbb_20_2_0,0.8857327126457428,0.3857327126457428,high,1.0776911918771759,0.3681606268459477,187,72286
all_background,T2/S04,adx_14_adx_14,0.8802336395089316,0.38023363950893163,high,41.77368392520366,23.365122325911905,187,72292
all_background,T2/S04,bbands_34_bbb_34_2_0,0.879806929614682,0.379806929614682,high,1.3745157364161893,0.4936700051311629,187,72272
all_background,T2/S04,close_minus_wma_21,0.8783162237711022,0.3783162237711022,high,3.0278787878787625,0.05757575757547784,187,72285
all_background,T2/S04,adx_14_dmp_14,0.8765300766262552,0.37653007662625515,high,31.787745085563458,20.126530275669523,187,72292
all_background,T2/S04,adx_7_dmn_7,0.1307813889039079,0.3692186110960921,low,8.15451764517871,20.025455853541544,187,72299
all_background,T2/S04,ema_8_slope_4,0.8611532617332464,0.36115326173324636,high,1.8127156562172786,0.03491018066449669,187,72294
all_background,T2/S04,bbands_34_bbp_34_2_0,0.855366654078058,0.355366654078058,high,0.9003921335950139,0.5230071151123458,187,72272
all_background,T3/S06,rsi_34,0.04286023342322277,0.45713976657677724,low,35.36820343819619,50.55575953632555,42,72417
all_background,T3/S06,rsi_21,0.05101970375337765,0.4489802962466224,low,33.16332127609961,50.573767294380545,42,72430
all_background,T3/S06,adx_21_dmp_21,0.05753075218766232,0.44246924781233765,low,10.520944165807776,20.33404763682647,42,72430
all_background,T3/S06,adx_21_dmn_21,0.9409643465283394,0.4409643465283394,high,32.791468855641796,20.916337901380036,42,72430
all_background,T3/S06,ema_50_slope_4,0.06303865524551464,0.43696134475448534,low,-0.9346516446162241,0.027378958579902246,42,72397
all_background,T3/S06,roc_34,0.06361229036466552,0.43638770963533446,low,-0.7694277340107516,0.01816402848832087,42,72416
all_background,T3/S06,ema_21_minus_ema_50,0.06399017114338726,0.43600982885661277,low,-3.294868594578247,0.10348885324128787,42,72401
all_background,T3/S06,wma_50_slope_4,0.06467645002390916,0.4353235499760908,low,-1.0769098039215805,0.027294117646988525,42,72397
all_background,T3/S06,cmo_21,0.06542729201470865,0.43457270798529135,low,-45.53628898477205,1.4040561622469436,42,72429
