strategy,feature,auc,auc_lift,direction,positive_median,background_median,positive_count,background_count
T3/S06,ema_21_minus_ema_50,0.06595379524603504,0.43404620475396494,low,-4.5038584247274684,0.07978028365823775,83,142965
T3/S06,close_minus_ema_50,0.067621487945276,0.432378512054724,low,-7.131405224143236,0.1369774030474673,83,142965
T3/S06,close_minus_sma_50,0.0685083846033594,0.4314916153966406,low,-9.058799999999792,0.12680000000023028,83,142965
T3/S06,cmo_21,0.07066236033628405,0.42933763966371596,low,-42.229199372055874,0.7125890736335885,83,142993
T3/S06,wma_21_minus_wma_50,0.07191489702383133,0.42808510297616864,low,-3.7857198879555654,0.04766254138007753,83,142965
T3/S06,sma_50_slope_4,0.07255112882332135,0.4274488711766786,low,-1.2704000000001088,0.02680000000009386,83,142961
T3/S06,roc_34,0.07409512156894468,0.4259048784310553,low,-0.8271335775774848,0.010938961401718024,83,142980
T3/S06,ema_8_minus_ema_21,0.0773633437480147,0.4226366562519853,low,-2.3403469145498548,0.03540866230548545,83,142994
T3/S06,adx_14_dmp_14,0.07750683014012119,0.42249316985987884,low,10.424690344676996,20.052438277692435,83,143001
T3/S06,sma_21_slope_4,0.08351742518012466,0.4164825748198754,low,-1.6819047619048888,0.018809523809522943,83,142990
T3/S06,roc_20,0.08367930510522727,0.41632069489477275,low,-0.5377019236257818,0.0058580328793881396,83,142994
T3/S06,mom_34,0.0838699742317992,0.4161300257682008,low,-13.170000000000073,0.17499999999995453,83,142980
T3/S06,adx_21_dmn_21,0.9160490515146732,0.4160490515146732,high,31.975612779550794,20.71851365565702,83,142994
T3/S06,close_minus_wma_50,0.08400497383511595,0.41599502616488404,low,-6.324949019607857,0.09352941176462082,83,142965
T3/S06,sma_21_minus_sma_50,0.08415725645210155,0.4158427435478984,low,-5.8988571428569685,0.07319047619034791,83,142965
T3/S06,ao,0.08655510130548139,0.4134448986945186,low,-5.815235294117883,0.07905882352906701,83,142981
T3/S06,rsi_14,0.0910824366128369,0.4089175633871631,low,32.922505145540796,50.400255156546926,83,143001
T3/S06,mom_20,0.09286736439021538,0.40713263560978463,low,-9.3900000000001,0.09000000000014552,83,142994
T3/S06,ema_21_slope_4,0.09891937847199696,0.40108062152800306,low,-1.25077240827477,0.02271124756214249,83,142990
T3/S06,adx_14_adx_14,0.8945028861960101,0.39450288619601015,high,45.68235517055277,23.405679988945185,83,143001
T3/S06,adx_14_dmn_14,0.8941283838018489,0.3941283838018489,high,31.804718785935204,20.460916691184224,83,143001
T3/S06,close_minus_ema_21,0.11595709382700531,0.38404290617299464,low,-2.885913073137999,0.057538803617831036,83,142994
T3/S06,wma_21_slope_4,0.12189655186941205,0.37810344813058794,low,-1.2693073593075042,0.01846320346317043,83,142990
T3/S06,adx_21_adx_21,0.8735426762366473,0.3735426762366473,high,37.55286897434148,19.626377447412445,83,142994
T3/S06,sma_8_minus_sma_21,0.13551571209239383,0.36448428790760623,low,-2.3302380952379735,0.03077380952402109,83,142994
T3/S06,adx_7_dmp_7,0.15128279958051047,0.3487172004194895,low,9.71401777330335,19.42776263023665,83,143008
T3/S06,close_minus_sma_21,0.15827056354710983,0.3417294364528902,low,-2.6933333333331575,0.055714285714429934,83,142994
T3/S06,efi_13,0.15879845140521806,0.3412015485947819,low,-570.6643425342635,1.871459014733067,83,143001
T3/S06,rsi_8,0.16197955934586064,0.3380204406541394,low,31.989681777315592,50.46409541530805,83,143007
T3/S06,aroon_25_aroonosc_25,0.16440804655375374,0.33559195344624626,low,-76.0,7.9999999999999964,83,142989
T3/S06,fisher_14,0.16686268012448813,0.3331373198755119,low,-2.0770170388940197,0.07172562581855328,83,143001
T3/S06,bbands_34_bbb_34_2_0,0.8322773191787298,0.3322773191787298,high,1.2022242208713103,0.5186813969436478,83,142981
T3/S06,aroon_25_aroonu_25,0.17174128399968758,0.3282587160003124,low,4.0000000000000036,48.0,83,142989
T3/S06,adx_7_adx_7,0.8236817823992322,0.3236817823992322,high,49.7973297049044,32.100870485312186,83,143008
T3/S06,bbands_34_bbp_34_2_0,0.18385145620915344,0.31614854379084656,low,0.16737221532342697,0.5144929188981693,83,142981
T4/S08,rsi_34,0.9666196504834493,0.46661965048344933,high,67.72851933695053,50.35769815083526,47,143017
T4/S08,ema_21_minus_ema_50,0.9629111357203721,0.4629111357203721,high,7.86471324883496,0.07731548427045709,47,143001
T4/S08,close_minus_ema_50,0.9522593726840476,0.4522593726840476,high,16.07216629590721,0.13346112571366575,47,143001
T4/S08,ema_50_slope_4,0.951950487281462,0.45195048728146203,high,2.4319783966057003,0.020809573638416623,47,142997
T4/S08,adx_21_adx_21,0.9471551125266088,0.4471551125266088,high,47.57223214727479,19.628522510902656,47,143030
