strategy,rule_size,rule,matched,true_positive,false_positive,precision,recall,total_positive,base_rate,precision_lift_vs_base,score
T4/S08,3,adx_21_adx_21 >= 47.5722 AND sma_50_slope_4 >= 2.2950 AND rsi_21 >= 68.9883,196,11,185,0.05612244897959184,0.23404255319148937,47,0.0003284485349098863,170.8713634389926,0.01313504125054277
T4/S08,3,rsi_34 >= 67.7285 AND ema_21_minus_ema_50 >= 7.8647 AND adx_21_adx_21 >= 47.5722,197,11,186,0.05583756345177665,0.23404255319148937,47,0.0003284485349098863,170.00399611189113,0.0130683659142456
T4/S08,3,adx_21_adx_21 >= 47.5722 AND sma_50_slope_4 >= 2.2950 AND adx_21_dmp_21 >= 33.1890,201,11,190,0.05472636815920398,0.23404255319148937,47,0.0003284485349098863,166.62083201016196,0.012808298930877527
T4/S08,3,close_minus_ema_50 >= 16.0722 AND adx_21_adx_21 >= 47.5722 AND adx_21_dmp_21 >= 33.1890,136,9,127,0.0661764705882353,0.19148936170212766,47,0.0003284485349098863,201.48200876095117,0.012672090112640802
T4/S08,3,ema_21_minus_ema_50 >= 7.8647 AND adx_21_adx_21 >= 47.5722 AND rsi_21 >= 68.9883,168,10,158,0.05952380952380952,0.2127659574468085,47,0.0003284485349098863,181.2272036474164,0.012664640324214792
T4/S08,3,ema_21_minus_ema_50 >= 7.8647 AND close_minus_ema_50 >= 16.0722 AND ema_50_slope_4 >= 2.4320,679,20,659,0.029455081001472753,0.425531914893617,47,0.0003284485349098863,89.67944098016481,0.0125340770219033
T4/S08,3,close_minus_ema_50 >= 16.0722 AND adx_21_adx_21 >= 47.5722 AND rsi_21 >= 68.9883,139,9,130,0.06474820143884892,0.19148936170212766,47,0.0003284485349098863,197.1334761977652,0.012398591764885964
T5/S09,2,fisher_14 >= 4.0160 AND adx_7_adx_7 >= 68.9157,730,26,704,0.03561643835616438,0.3880597014925373,67,0.0004682138689140932,76.06873849928441,0.013821304436720507
T5/S09,3,cmo_14 >= 69.2552 AND adx_7_adx_7 >= 68.9157 AND adx_14_dmn_14 <= 7.1122,338,17,321,0.05029585798816568,0.2537313432835821,67,0.0004682138689140932,107.42069239600814,0.01276163560893756
T5/S09,2,cmo_14 >= 69.2552 AND adx_14_dmn_14 <= 7.1122,567,22,545,0.03880070546737213,0.3283582089552239,67,0.0004682138689140932,82.86962015320223,0.012740530153465476
T5/S09,2,fisher_9 >= 3.8476 AND adx_7_adx_7 >= 68.9157,625,23,602,0.0368,0.34328358208955223,67,0.0004682138689140932,78.59656119402985,0.012632835820895522
T5/S09,3,adx_7_adx_7 >= 68.9157 AND rsi_14 >= 74.7930 AND adx_14_dmn_14 <= 7.1122,573,22,551,0.038394415357766144,0.3283582089552239,67,0.0004682138689140932,82.00187543955614,0.012607121460759032
T5/S09,2,adx_7_adx_7 >= 68.9157 AND rsi_14 >= 74.7930,695,24,671,0.034532374100719423,0.3582089552238806,67,0.0004682138689140932,73.75341995060668,0.012369805648018897
T5/S09,3,fisher_9 >= 3.8476 AND fisher_14 >= 4.0160 AND adx_7_adx_7 >= 68.9157,604,22,582,0.03642384105960265,0.3283582089552239,67,0.0004682138689140932,77.79316991202926,0.01196006721360087
